Continuous Case:
Configuration:
pho = 0.1
diff_thresold = 1e-5
train_error_threshold = 1e-5
iter:469  diff:0.00021082 train_error:0.72721293 test_error:0.85504286
iter:470  diff:0.00021087 train_error:0.72712721 test_error:0.85493315
iter:471  diff:0.00021100 train_error:0.72704112 test_error:0.85482358
iter:472  diff:0.00021119 train_error:0.72695463 test_error:0.85471417
iter:473  diff:0.00021146 train_error:0.72686773 test_error:0.85460490
iter:474  diff:0.00021181 train_error:0.72678039 test_error:0.85449578
iter:475  diff:0.00021223 train_error:0.72669258 test_error:0.85438680
iter:476  diff:0.00021274 train_error:0.72660430 test_error:0.85427797
iter:477  diff:0.00021334 train_error:0.72651550 test_error:0.85416927
iter:478  diff:0.00021402 train_error:0.72642617 test_error:0.85406071
iter:479  diff:0.00021480 train_error:0.72633628 test_error:0.85395228
iter:480  diff:0.00021567 train_error:0.72624581 test_error:0.85384398
iter:481  diff:0.00021665 train_error:0.72615473 test_error:0.85373582
iter:482  diff:0.00021773 train_error:0.72606300 test_error:0.85362777
iter:483  diff:0.00021892 train_error:0.72597061 test_error:0.85351985
iter:484  diff:0.00022022 train_error:0.72587751 test_error:0.85341206
iter:485  diff:0.00022164 train_error:0.72578368 test_error:0.85330437
iter:486  diff:0.00022318 train_error:0.72568908 test_error:0.85319680
iter:487  diff:0.00022485 train_error:0.72559368 test_error:0.85308934
iter:488  diff:0.00022666 train_error:0.72549745 test_error:0.85298199
iter:489  diff:0.00022860 train_error:0.72540035 test_error:0.85287474
iter:490  diff:0.00023069 train_error:0.72530234 test_error:0.85276759
iter:491  diff:0.00023293 train_error:0.72520339 test_error:0.85266053
iter:492  diff:0.00023533 train_error:0.72510344 test_error:0.85255356
iter:493  diff:0.00023789 train_error:0.72500247 test_error:0.85244668
iter:494  diff:0.00024062 train_error:0.72490043 test_error:0.85233988
iter:495  diff:0.00024353 train_error:0.72479727 test_error:0.85223315
iter:496  diff:0.00024662 train_error:0.72469295 test_error:0.85212649
iter:497  diff:0.00024990 train_error:0.72458742 test_error:0.85201990
iter:498  diff:0.00025339 train_error:0.72448063 test_error:0.85191336
iter:499  diff:0.00025708 train_error:0.72437254 test_error:0.85180687
iter:500  diff:0.00026099 train_error:0.72426309 test_error:0.85170043
 Iter  FuncEvals       F(X)          ||G(X)||/N        
------ --------- ---------------- ----------------
     0         1   71988.62653562       0.00284092
     1         8   65998.16590166       2.10658851
     2        21   65997.78035538       2.11720968
     3        30   54216.78709870       2.22257237
     4        38   42580.98526248       2.14250544
     5        46   25666.03384674       1.03934077
     6        53   21278.46944362       0.84951550
     7        60   18476.00974116       0.60987837
     8        67   15371.33221007       0.47960118
     9        74   14098.91040815       0.53942241
    10        81   12626.46476702       0.45346350
    11        88   11321.83995073       0.26870994
    12        94   10892.79214716       0.31691800
    13       101   10382.44036076       0.24003664
    14       108    9626.38627791       0.26006565
    15       115    9338.61858445       0.23207682
    16       122    9034.90887126       0.16723633
    17       128    8727.98933563       0.17287864
    18       134    8437.86632864       0.24471035
    19       141    8164.49891382       0.17553675
    20       147    7851.60071387       0.14194249
    21       153    7721.08128700       0.12855896
    22       159    7619.35102797       0.14477264
    23       165    7472.32216024       0.11580889
    24       171    7347.90911653       0.11394917
    25       177    7257.31220171       0.16148583
    26       184    7028.05816485       0.13783673
    27       190    6843.74374760       0.15560114
    28       197    6747.58844264       0.12092407
    29       203    6598.89307105       0.11944086
    30       209    6438.23409526       0.15966183
    31       216    6326.64231901       0.12227779
    32       222    6181.20976704       0.10785618
    33       228    6035.92834231       0.14755784
    34       235    5944.67216623       0.10374452
    35       241    5827.28060814       0.10055596
    36       247    5712.03075060       0.11430615
    37       253    5651.15073821       0.09945523
    38       259    5540.17169027       0.08670916
    39       264    5453.07730411       0.09443794
    40       270    5406.01551804       0.09160748
    41       275    5376.04813533       0.06617776
    42       280    5324.00729038       0.08260153
    43       285    5253.55737720       0.06116195
    44       290    5209.99379943       0.08354491
    45       296    5170.26242448       0.06415021
    46       302    5124.69375601       0.05966474
    47       308    5076.95532045       0.08313512
    48       314    5037.00129060       0.06454508
    49       320    5000.89655338       0.06392651
    50       326    4943.89200368       0.06687705
    51       332    4912.08268569       0.07500539
    52       338    4864.79185819       0.05567927
    53       344    4821.56536037       0.06520256
    54       350    4793.79990136       0.06248205
    55       356    4760.44806831       0.05397264
    56       362    4734.02590757       0.04906427
    57       368    4705.21297082       0.06756328
    58       374    4676.23419917       0.04950129
    59       380    4637.72012419       0.05197550
    60       386    4617.25145706       0.05407590
    61       391    4606.57240734       0.03845046
    62       396    4583.54589163       0.04173051
    63       401    4565.88832137       0.04409861
    64       406    4553.92708177       0.04248792
    65       411    4537.62143853       0.03583377
    66       416    4520.76846961       0.03743933
    67       421    4508.75263237       0.04641033
    68       427    4494.38270981       0.03319540
    69       432    4474.84539772       0.03683714
    70       437    4463.31068142       0.04814127
    71       443    4445.66454422       0.03447620
    72       448    4425.32228588       0.04148459
    73       454    4410.25897944       0.05252664
    74       459    4390.98128520       0.03665129
    75       464    4370.24972196       0.04393862
    76       469    4352.42668533       0.04476270
    77       475    4340.30966752       0.04155999
    78       481    4315.60805112       0.03894484
    79       486    4293.16372865       0.05129861
    80       492    4278.41066350       0.04395003
    81       497    4268.62585668       0.03489793
    82       502    4259.49502115       0.03142029
    83       507    4246.38135518       0.03096525
    84       512    4232.25433680       0.03590817
    85       517    4222.67428704       0.03578754
    86       522    4210.28505718       0.02997248
    87       527    4199.21359452       0.03065550
    88       532    4189.37778837       0.03553799
    89       537    4180.86145205       0.02604634
    90       542    4169.39961832       0.02735276
    91       547    4162.22970421       0.03217896
    92       552    4153.80267560       0.02616023
    93       557    4143.83423927       0.02823035
    94       562    4135.06564807       0.03167220
    95       567    4127.19276925       0.03005834
    96       573    4116.05514986       0.02662517
    97       578    4105.34721872       0.03668703
    98       584    4094.90080103       0.03466336
    99       590    4078.25685898       0.03701094
   100       596    4060.19048441       0.04016820
   101       601    4051.83902109       0.03237818
   102       606    4043.03456196       0.02431473
   103       611    4036.90435865       0.02778770
   104       616    4031.57245271       0.02507140
   105       621    4025.17244288       0.02229872
   106       626    4017.69171335       0.02589021
   107       631    4013.91507771       0.02179624
   108       635    4007.80444703       0.02184442
   109       640    4002.64832416       0.02213421
   110       645    3998.37983843       0.02562339
   111       650    3992.66772133       0.02109655
   112       654    3984.56510645       0.02512051
   113       659    3979.96460236       0.02760406
   114       665    3972.00776032       0.02096005
   115       670    3964.91283576       0.02568076
   116       675    3960.15671042       0.02636166
   117       681    3953.11355421       0.02096743
   118       686    3946.16747595       0.02424341
   119       691    3941.37761133       0.02865563
   120       697    3930.68904057       0.02815270
   121       702    3924.86084017       0.01692072
   122       706    3920.50611449       0.02113223
   123       711    3916.04275355       0.02484601
   124       716    3910.50255545       0.01727739
   125       720    3905.28814767       0.01825643
   126       725    3900.00473961       0.02010644
   127       730    3895.01504786       0.01915575
   128       735    3891.10386832       0.02253111
   129       740    3887.09963126       0.01734905
   130       745    3882.50906543       0.01636241
   131       750    3878.11488374       0.01740797
   132       755    3873.56576916       0.01777099
   133       760    3871.04902274       0.01966011
   134       765    3865.67755343       0.01658020
   135       769    3861.25190873       0.01866879
   136       774    3856.06494052       0.01864062
   137       779    3849.74403729       0.03045498
   138       785    3842.18006242       0.02662773
   139       791    3827.13050561       0.02733037
   140       797    3816.63819429       0.02658798
   141       801    3811.85817308       0.02061501
   142       805    3805.88950624       0.02394291
   143       810    3801.70965475       0.01871747
   144       815    3797.03614706       0.01666917
   145       819    3793.92018537       0.01615879
   146       823    3790.03645913       0.01604192
   147       828    3787.47278733       0.01737897
   148       833    3784.59733873       0.01635426
   149       838    3781.66475547       0.01344625
   150       842    3778.60672444       0.01299708
   151       846    3775.89368133       0.01739294
   152       851    3773.45274653       0.01597727
   153       856    3770.02576051       0.01626386
   154       861    3767.15348012       0.01458336
   155       866    3764.32912227       0.01408767
   156       871    3761.93097998       0.01567476
   157       876    3759.81585149       0.01487712
   158       880    3757.02590643       0.01499519
   159       885    3754.56844242       0.01323311
   160       890    3750.13968504       0.02007949
   161       894    3748.06055480       0.01404112
   162       898    3747.31373313       0.01827855
   163       903    3745.75428949       0.01135078
   164       907    3743.96553529       0.01215423
   165       911    3742.40448074       0.01410862
   166       915    3740.44090586       0.01369910
   167       919    3738.76239299       0.01361692
   168       924    3736.49055742       0.01319195
   169       929    3734.59443509       0.01663231
   170       934    3732.30645060       0.01314191
   171       938    3729.95681515       0.01410026
   172       943    3728.27181199       0.01414933
   173       948    3726.36931590       0.01400602
   174       952    3724.08482268       0.01361596
   175       957    3721.95509255       0.01618765
   176       962    3720.07962460       0.01320677
   177       967    3717.27602169       0.01403059
   178       972    3715.65018113       0.01597928
   179       977    3712.82781971       0.01456629
   180       982    3709.75579906       0.01771288
   181       986    3708.47830837       0.00926157
   182       990    3707.50271264       0.01238228
   183       994    3705.95362099       0.01566997
   184       999    3703.63269388       0.01396331
   185      1003    3701.65447638       0.01313667
   186      1007    3700.30116084       0.01255477
   187      1011    3698.65301251       0.01328651
   188      1015    3697.07858729       0.01261221
   189      1019    3695.24006025       0.01321834
   190      1024    3693.95214669       0.01269192
   191      1029    3692.05456056       0.01229697
   192      1033    3690.44081210       0.01423810
   193      1038    3688.96186884       0.01209271
   194      1043    3687.08318841       0.01332234
   195      1048    3685.51430201       0.01316369
   196      1053    3684.21448400       0.01144208
   197      1058    3682.81155310       0.01043516
   198      1062    3681.71109086       0.01314182
   199      1067    3680.05059912       0.01358120
   200      1072    3676.86478910       0.01835104
   201      1076    3675.32371091       0.01088634
   202      1080    3674.56191408       0.01286046
   203      1084    3673.59231458       0.01108494
   204      1088    3672.41852459       0.00945292
   205      1092    3671.22433734       0.01195719
   206      1096    3670.19820931       0.01132766
   207      1100    3668.52319050       0.01090490
   208      1104    3667.37695790       0.01306451
   209      1109    3665.95320724       0.01120730
   210      1113    3664.44997515       0.01209429
   211      1118    3663.29125218       0.01174103
   212      1123    3661.98885497       0.01168033
   213      1127    3660.59859481       0.01189487
   214      1132    3659.26817059       0.01234166
   215      1137    3658.01935221       0.01143547
   216      1142    3656.59042140       0.01294835
   217      1147    3654.93864771       0.01282646
   218      1152    3653.61385676       0.01245548
   219      1157    3652.28975275       0.01011252
   220      1162    3651.13933663       0.01268291
   221      1166    3650.46179305       0.00738496
   222      1170    3649.87592169       0.01103781
   223      1174    3648.85895188       0.01279280
   224      1178    3647.21553378       0.01111772
   225      1182    3645.92568716       0.01146315
   226      1186    3645.03823324       0.01042276
   227      1190    3643.70316979       0.01073788
   228      1194    3642.75048489       0.01099866
   229      1198    3641.59303766       0.01058546
   230      1202    3640.63325553       0.01115592
   231      1207    3639.27377498       0.01071567
   232      1212    3638.26991997       0.01193493
   233      1217    3637.14389176       0.00935718
   234      1222    3635.96287671       0.01150891
   235      1227    3635.15324794       0.00962183
   236      1232    3633.96547326       0.00920073
   237      1237    3633.26442342       0.01032952
   238      1242    3632.30000016       0.01013958
   239      1247    3630.58438255       0.01433203
   240      1252    3628.75413670       0.01882161
   241      1256    3627.29049260       0.00970521
   242      1260    3626.63949826       0.01046214
   243      1264    3625.92515385       0.00959721
   244      1268    3625.19152603       0.00809154
   245      1272    3624.23367674       0.00996202
   246      1276    3623.52597495       0.01006421
   247      1280    3622.41174294       0.00846336
   248      1284    3621.61223353       0.01107009
   249      1289    3620.70796736       0.00929252
   250      1293    3619.51262528       0.01016699
   251      1297    3618.76899894       0.01017196
   252      1302    3617.77183441       0.00900503
   253      1307    3616.87276933       0.01083144
   254      1312    3615.93311381       0.00981824
   255      1317    3614.99271723       0.01071772
   256      1322    3613.91426464       0.01037814
   257      1326    3612.86519277       0.01073308
   258      1331    3612.04806254       0.00907074
   259      1336    3611.33374380       0.00798232
   260      1340    3610.47150633       0.01261315
   261      1344    3609.86469732       0.00619016
   262      1348    3609.68495563       0.00929989
   263      1352    3609.02535920       0.00970592
   264      1355    3607.95071538       0.00943139
   265      1359    3607.16557957       0.01022380
   266      1363    3606.38369744       0.00923876
   267      1367    3605.43215788       0.00957563
   268      1371    3604.71952385       0.00932082
   269      1375    3603.99061851       0.00894975
   270      1379    3603.20989272       0.00933150
   271      1383    3602.40385791       0.01007618
   272      1387    3601.53479444       0.00954154
   273      1392    3600.82302354       0.00870340
   274      1396    3600.08130193       0.00874909
   275      1400    3599.47578884       0.00946126
   276      1405    3598.53641848       0.00837574
   277      1410    3597.91340750       0.00927292
   278      1414    3597.31130222       0.00795993
   279      1419    3596.36998383       0.01062835
   280      1423    3595.33007602       0.01398947
   281      1427    3594.56995047       0.00749191
   282      1431    3594.09230258       0.01024987
   283      1435    3593.50315267       0.00787249
   284      1439    3593.00287870       0.00696198
   285      1443    3592.21465151       0.00959752
   286      1447    3591.63641211       0.00798350
   287      1450    3590.93100278       0.00821672
   288      1454    3590.30411859       0.00875045
   289      1458    3589.61047359       0.00909623
   290      1462    3588.84948758       0.00894426
   291      1466    3588.12969346       0.00842288
   292      1470    3587.47976961       0.00860343
   293      1474    3586.84760892       0.00885477
   294      1478    3586.03425754       0.00890323
   295      1483    3585.23522073       0.00930965
   296      1488    3584.58794660       0.00939296
   297      1493    3583.63969446       0.00807559
   298      1498    3583.04648699       0.00846517
   299      1503    3582.56297746       0.00783560
   300      1508    3581.03880729       0.01474457
   301      1512    3580.06605998       0.00710190
   302      1516    3579.95659268       0.00857132
   303      1520    3579.51370213       0.00793729
   304      1524    3578.89199396       0.00774913
   305      1528    3578.13790700       0.00955114
   306      1532    3577.60056864       0.00786238
   307      1536    3576.79856261       0.00836784
   308      1540    3576.23893358       0.00910648
   309      1544    3575.58636515       0.00766000
   310      1548    3574.97899553       0.00819097
   311      1552    3574.43200890       0.00893595
   312      1556    3573.71255503       0.00804202
   313      1560    3573.12779409       0.00811093
   314      1564    3572.60243763       0.00819356
   315      1569    3572.02143367       0.00771085
   316      1573    3571.45978019       0.00840296
   317      1578    3570.87445963       0.00781782
   318      1583    3570.39158711       0.00789722
   319      1588    3569.83479253       0.00727716
   320      1593    3569.27485919       0.00947038
   321      1596    3568.93200828       0.00538131
   322      1600    3568.62672493       0.00903151
   323      1604    3568.13722952       0.00740548
   324      1608    3567.58134266       0.00732041
   325      1612    3567.09424836       0.00730603
   326      1616    3566.61910096       0.00773529
   327      1620    3566.06949008       0.00757596
   328      1624    3565.59756595       0.00751077
   329      1628    3564.89693718       0.00800929
   330      1632    3564.46270511       0.00790339
   331      1636    3563.78566856       0.00683195
   332      1640    3563.25514812       0.00898090
   333      1644    3562.66178410       0.00763348
   334      1649    3562.08291271       0.00750922
   335      1653    3561.47146994       0.00882247
   336      1658    3560.91429595       0.00775659
   337      1663    3560.33329596       0.00701623
   338      1667    3559.84458989       0.00825697
   339      1672    3559.18483898       0.01039266
   340      1677    3556.86126338       0.01999766
   341      1681    3555.29670144       0.00736996
   342      1685    3555.14510562       0.00905684
   343      1689    3554.63058695       0.00707060
   344      1692    3554.07071544       0.00685249
   345      1696    3553.54810784       0.00804945
   346      1700    3552.94882638       0.00786420
   347      1703    3552.39849711       0.00625497
   348      1707    3551.91944676       0.00789866
   349      1711    3551.43719058       0.00670289
   350      1714    3550.79844948       0.00723036
   351      1718    3550.38631427       0.00744028
   352      1722    3549.81154212       0.00655542
   353      1726    3549.30504528       0.00751584
   354      1730    3548.82426539       0.00705892
   355      1734    3548.35487880       0.00659048
   356      1738    3547.84988901       0.00697241
   357      1742    3547.46344511       0.00670051
   358      1746    3547.02158556       0.00554269
   359      1750    3546.67172286       0.00728841
   360      1755    3545.93747390       0.01050060
   361      1759    3545.41718485       0.00549341
   362      1762    3545.21548045       0.00731990
   363      1766    3544.82351130       0.00623753
   364      1770    3544.48986100       0.00572240
   365      1773    3544.08579474       0.00686116
   366      1777    3543.61155175       0.00662655
   367      1781    3543.24607227       0.00669307
   368      1784    3542.71322149       0.00639518
   369      1787    3542.30876664       0.00720515
   370      1791    3541.85530034       0.00669597
   371      1795    3541.38314367       0.00663017
   372      1799    3540.94632099       0.00746053
   373      1804    3540.47749722       0.00628415
   374      1808    3540.04368359       0.00659612
   375      1812    3539.59843651       0.00762395
   376      1817    3539.07015706       0.00697042
   377      1821    3538.57631146       0.00668405
   378      1825    3538.15476593       0.00735720
   379      1830    3537.65512415       0.00730056
   380      1835    3536.36938844       0.01448405
   381      1839    3535.54712793       0.00651514
   382      1843    3535.46832566       0.00833593
   383      1847    3535.01981216       0.00625593
   384      1851    3534.53730353       0.00675767
   385      1855    3534.16663425       0.00727564
   386      1859    3533.63836716       0.00581079
   387      1863    3533.26179142       0.00620744
   388      1867    3532.90533460       0.00680398
   389      1871    3532.46863764       0.00650500
   390      1875    3532.06044793       0.00641615
   391      1879    3531.72050304       0.00613454
   392      1882    3531.27013546       0.00681207
   393      1886    3530.83211146       0.00609728
   394      1890    3530.49538152       0.00671172
   395      1894    3530.13267988       0.00580539
   396      1898    3529.67433628       0.00623030
   397      1902    3529.37482140       0.00601943
   398      1906    3529.03183703       0.00539346
   399      1910    3528.71106317       0.00668037
   400      1914    3528.33235848       0.00682899
   401      1918    3528.06544776       0.00497063
   402      1921    3527.78223400       0.00600950
   403      1925    3527.44124694       0.00544538
   404      1929    3527.15422044       0.00604614
   405      1933    3526.78793303       0.00575436
   406      1937    3526.40349743       0.00550788
   407      1941    3525.99243827       0.00557203
   408      1945    3525.57309767       0.00617262
   409      1949    3525.20173084       0.00606716
   410      1953    3524.89807222       0.00635063
   411      1957    3524.46144899       0.00550047
   412      1961    3524.09503594       0.00664600
   413      1965    3523.72636585       0.00530092
   414      1968    3523.32274720       0.00633036
   415      1972    3522.89470598       0.00559083
   416      1976    3522.39859660       0.00704615
   417      1981    3522.07205475       0.00632848
   418      1986    3521.54404256       0.00829745
   419      1991    3519.42283323       0.01719313
   420      1998    3515.30097093       0.02234115
   421      2002    3513.17289244       0.01254312
   422      2006    3512.12926910       0.01259188
   423      2010    3511.36801713       0.00817664
   424      2014    3510.82759332       0.00676806
   425      2017    3510.36761813       0.00727798
   426      2021    3509.98585576       0.00685183
   427      2024    3509.56188676       0.00557501
   428      2027    3509.21102898       0.00616746
   429      2031    3508.88376187       0.00637712
   430      2035    3508.52782079       0.00578852
   431      2039    3508.23234265       0.00593380
   432      2043    3507.91594968       0.00606729
   433      2047    3507.59317018       0.00551754
   434      2051    3507.22508685       0.00557439
   435      2055    3506.98280774       0.00578996
   436      2059    3506.69125254       0.00543200
   437      2062    3506.38350968       0.00583994
   438      2066    3506.11721370       0.00517161
   439      2069    3505.89883810       0.00428146
   440      2073    3505.70884491       0.00439443
   441      2076    3505.62345582       0.00288187
   442      2079    3505.52712875       0.00398364
   443      2082    3505.32078810       0.00503739
   444      2086    3505.03715471       0.00510160
   445      2089    3504.80231465       0.00489394
   446      2093    3504.52983140       0.00534267
   447      2097    3504.15496086       0.00530222
   448      2101    3503.85877892       0.00586155
   449      2105    3503.62027373       0.00556188
   450      2109    3503.28384576       0.00552840
   451      2113    3502.87392715       0.00567166
   452      2117    3502.55622166       0.00562439
   453      2121    3502.24382655       0.00585657
   454      2126    3501.88700143       0.00621924
   455      2131    3501.50972072       0.00645433
   456      2136    3501.16111068       0.00700400
   457      2141    3500.69016819       0.00730070
   458      2146    3499.08863847       0.01228460
   459      2152    3496.95318087       0.01447994
   460      2158    3494.41251816       0.01938320
   461      2162    3493.06898261       0.01106975
   462      2166    3492.29402380       0.01460340
   463      2170    3491.28316710       0.01087130
   464      2173    3490.47743008       0.00892265
   465      2177    3489.95175163       0.00818600
   466      2181    3489.44126402       0.00698546
   467      2185    3489.09004503       0.00764117
   468      2189    3488.70454347       0.00590749
   469      2193    3488.36313640       0.00642059
   470      2197    3488.10217741       0.00638967
   471      2200    3487.79573489       0.00558086
   472      2204    3487.49915400       0.00599481
   473      2208    3487.25981643       0.00619658
   474      2212    3486.98024101       0.00537698
   475      2216    3486.68889333       0.00585065
   476      2220    3486.48411811       0.00546957
   477      2224    3486.26736704       0.00486305
   478      2228    3486.04988606       0.00471387
   479      2232    3485.91721525       0.00461170
   480      2236    3485.75428914       0.00394545
   481      2239    3485.68302429       0.00226539
   482      2242    3485.62050791       0.00318007
   483      2245    3485.49273250       0.00376798
   484      2249    3485.37073650       0.00392884
   485      2253    3485.24314259       0.00404267
   486      2257    3485.09002693       0.00433390
   487      2261    3484.85945888       0.00441995
   488      2265    3484.63497723       0.00472273
   489      2269    3484.35258155       0.00552718
   490      2273    3484.11449745       0.00578732
   491      2278    3483.86443060       0.00538204
   492      2283    3483.49281884       0.00594736
   493      2288    3483.13324435       0.00679941
   494      2293    3482.70362563       0.00672436
   495      2298    3482.15694283       0.00794466
   496      2303    3481.40326547       0.01006696
   497      2309    3480.49488488       0.01196219
   498      2315    3479.41351734       0.01112492
   499      2321    3477.49038140       0.01310739
   500      2326    3476.02911579       0.01066238
   501      2329    3475.37042112       0.00950163
   502      2333    3474.62425208       0.01007905
   503      2337    3473.86093250       0.00942512
   504      2341    3473.17922822       0.00900940
   505      2345    3472.46108115       0.00936065
   506      2349    3471.91022456       0.00776652
   507      2352    3471.45930963       0.00844685
   508      2356    3470.95015270       0.00713620
   509      2360    3470.52176432       0.00678803
   510      2364    3470.17432552       0.00662847
   511      2368    3469.91948191       0.00596718
   512      2372    3469.62353621       0.00534857
   513      2376    3469.38588995       0.00490024
   514      2380    3469.22139224       0.00508922
   515      2384    3469.06497977       0.00400593
   516      2388    3468.92173769       0.00354662
   517      2391    3468.81913755       0.00373274
   518      2395    3468.74275332       0.00325067
   519      2399    3468.64336833       0.00321263
   520      2403    3468.54741637       0.00327226
   521      2406    3468.50632034       0.00239477
   522      2409    3468.44024425       0.00284738
   523      2412    3468.38508769       0.00246435
   524      2415    3468.31075796       0.00284979
   525      2418    3468.24453821       0.00308345
   526      2422    3468.12535577       0.00346593
   527      2426    3468.01447609       0.00428739
   528      2430    3467.88237525       0.00430644
   529      2434    3467.68192647       0.00462800
   530      2438    3467.45990394       0.00505667
   531      2443    3467.13958749       0.00565497
   532      2448    3466.84231462       0.00688339
   533      2453    3466.52414443       0.00649321
   534      2458    3466.15342985       0.00653101
   535      2463    3465.65867853       0.00637178
   536      2468    3465.23343776       0.00772972
   537      2473    3464.78991437       0.00706973
   538      2478    3464.41986824       0.00705667
   539      2483    3463.96326780       0.00938289
   540      2489    3462.80640929       0.01416038
   541      2492    3462.06084150       0.00773134
   542      2495    3461.83678076       0.00944235
   543      2499    3461.43712327       0.00672891
   544      2502    3461.14054363       0.00682991
   545      2505    3460.78122304       0.00686268
   546      2509    3460.45237425       0.00688493
   547      2513    3460.10019931       0.00629144
   548      2516    3459.83639016       0.00646531
   549      2520    3459.57414809       0.00605474
   550      2524    3459.26834566       0.00544982
   551      2528    3459.04682999       0.00587748
   552      2532    3458.87274110       0.00452867
   553      2536    3458.69772934       0.00448251
   554      2539    3458.56993713       0.00403700
   555      2543    3458.46522177       0.00377715
   556      2547    3458.37379418       0.00336583
   557      2550    3458.30364085       0.00292921
   558      2553    3458.23743719       0.00292026
   559      2557    3458.18116525       0.00275392
   560      2560    3458.13280857       0.00278833
   561      2563    3458.10596683       0.00153400
   562      2565    3458.08324447       0.00211992
   563      2568    3458.03393766       0.00291844
   564      2572    3457.95457695       0.00313162
   565      2576    3457.86419050       0.00331737
   566      2580    3457.76680589       0.00345228
   567      2584    3457.62598556       0.00363994
   568      2587    3457.46687446       0.00428415
   569      2591    3457.25381654       0.00486548
   570      2596    3456.98431213       0.00511679
   571      2601    3456.72180604       0.00564227
   572      2606    3456.48975343       0.00623534
   573      2610    3456.16924525       0.00596390
   574      2615    3455.87453445       0.00682581
   575      2620    3455.58757370       0.00514725
   576      2625    3455.12984115       0.00738227
   577      2630    3454.62100952       0.00801604
   578      2636    3453.34750439       0.01233018
   579      2643    3451.54219637       0.01453849
   580      2650    3449.61130702       0.01723902
   581      2654    3448.60206347       0.01150302
   582      2658    3447.73840389       0.01222735
   583      2662    3447.09134500       0.00904066
   584      2666    3446.67657439       0.00672772
   585      2670    3446.36912408       0.00752590
   586      2674    3446.04560528       0.00578526
   587      2678    3445.79329318       0.00597322
   588      2682    3445.56732471       0.00602034
   589      2686    3445.35642366       0.00569903
   590      2690    3445.13836654       0.00496229
   591      2694    3444.94506952       0.00505862
   592      2698    3444.81224803       0.00485775
   593      2702    3444.65287008       0.00444225
   594      2706    3444.50152091       0.00425969
   595      2710    3444.39859634       0.00406412
   596      2714    3444.29653117       0.00380263
   597      2718    3444.20915771       0.00341234
   598      2722    3444.13302408       0.00303739
   599      2726    3444.07753785       0.00276586
   600      2729    3444.03640872       0.00237840
   601      2732    3444.01710236       0.00156255
   602      2735    3443.99992832       0.00181542
   603      2738    3443.96047441       0.00240375
   604      2741    3443.91577182       0.00272317
   605      2745    3443.85344059       0.00253025
   606      2748    3443.78463988       0.00297587
   607      2752    3443.68384555       0.00371081
   608      2756    3443.58322009       0.00370543
   609      2760    3443.46890432       0.00385363
   610      2764    3443.37948522       0.00388281
   611      2768    3443.26485111       0.00379576
   612      2772    3443.13003622       0.00408823
   613      2776    3443.01244553       0.00372721
   614      2780    3442.85865369       0.00419615
   615      2784    3442.70923088       0.00471512
   616      2789    3442.52666453       0.00546023
   617      2793    3442.23434480       0.00726804
   618      2799    3441.94131891       0.00618681
   619      2804    3441.48023882       0.00839246
   620      2810    3440.90743944       0.00799391
   621      2814    3440.66197544       0.00583022
   622      2817    3440.41120890       0.00491698
   623      2820    3440.20832496       0.00614445
   624      2824    3439.99041939       0.00506629
   625      2827    3439.83452496       0.00436705
   626      2831    3439.70778775       0.00386901
   627      2834    3439.57381520       0.00354468
   628      2837    3439.45508705       0.00405337
   629      2840    3439.34927102       0.00379482
   630      2843    3439.25039451       0.00392342
   631      2847    3439.15653397       0.00376247
   632      2851    3439.04566705       0.00365123
   633      2855    3438.94664713       0.00356670
   634      2859    3438.84630548       0.00328761
   635      2863    3438.76149708       0.00299369
   636      2867    3438.69256965       0.00341208
   637      2870    3438.62343640       0.00331447
   638      2874    3438.54273672       0.00306217
   639      2877    3438.47928515       0.00279904
   640      2881    3438.41234999       0.00324312
   641      2884    3438.37153286       0.00232877
   642      2887    3438.33210862       0.00252411
   643      2890    3438.29128249       0.00252916
   644      2893    3438.25156229       0.00248717
   645      2896    3438.20124014       0.00237710
   646      2899    3438.15449754       0.00270519
   647      2902    3438.10702084       0.00272953
   648      2906    3438.04982220       0.00273818
   649      2910    3437.98692827       0.00308793
   650      2914    3437.92387634       0.00290147
   651      2918    3437.86245823       0.00306403
   652      2922    3437.80011320       0.00288110
   653      2926    3437.73404606       0.00277947
   654      2930    3437.68132538       0.00310492
   655      2934    3437.61608405       0.00277225
   656      2938    3437.54490555       0.00323460
   657      2942    3437.47071996       0.00362534
   658      2946    3437.37124530       0.00356128
   659      2950    3437.27746688       0.00392189
   660      2955    3437.15157427       0.00436133
   661      2958    3437.07007722       0.00297781
   662      2961    3437.01429724       0.00299632
   663      2964    3436.92173918       0.00334541
   664      2967    3436.82968161       0.00328581
   665      2970    3436.77106106       0.00279773
   666      2973    3436.71276690       0.00269267
   667      2976    3436.66185649       0.00269849
   668      2979    3436.61022968       0.00289014
   669      2982    3436.55539071       0.00287404
   670      2986    3436.49660278       0.00268722
   671      2990    3436.43053361       0.00285351
   672      2994    3436.37379256       0.00285666
   673      2998    3436.32537407       0.00244546
   674      3002    3436.26967769       0.00232548
   675      3005    3436.22570268       0.00235554
   676      3009    3436.18896218       0.00243591
   677      3013    3436.14718921       0.00212034
   678      3017    3436.10470297       0.00295535
   679      3021    3436.04316222       0.00293036
   680      3024    3435.95468549       0.00504291
   681      3028    3435.88368119       0.00251661
   682      3031    3435.87050985       0.00336858
   683      3034    3435.82247172       0.00262035
